brand,category_code,event_type,count
a-case,construction.tools.welding,cart,4152
a-case,construction.tools.welding,purchase,1403
a-case,construction.tools.welding,view,55559
a-case,electronics.smartphone,cart,23
a-case,electronics.smartphone,purchase,7
a-case,electronics.smartphone,view,229
a-derma,accessories.bag,cart,1
a-derma,accessories.bag,view,48
a-derma,apparel.shoes,view,8
a-derma,apparel.shoes.ballet_shoes,view,2
a-derma,construction.tools.pump,cart,4
a-derma,construction.tools.pump,view,87
a-derma,furniture.living_room.sofa,cart,75
a-derma,furniture.living_room.sofa,purchase,4
a-derma,furniture.living_room.sofa,view,835
a-derma,kids.skates,view,10
a-derma,stationery.cartrige,view,114
a-elita,accessories.bag,view,1
a-elita,auto.accessories.parktronic,cart,6
a-elita,auto.accessories.parktronic,purchase,1
a-elita,auto.accessories.parktronic,view,326
a-mega,appliances.kitchen.toster,view,1
a-mega,furniture.bedroom.bed,cart,5
a-mega,furniture.bedroom.bed,purchase,1
a-mega,furniture.bedroom.bed,view,261
a-toys,computers.desktop,view,19
aardwolf,computers.components.cooler,view,23
aardwolf,computers.peripherals.mouse,cart,29
aardwolf,computers.peripherals.mouse,purchase,8
aardwolf,computers.peripherals.mouse,view,1277
abc,apparel.shoes.step_ins,cart,13
abc,apparel.shoes.step_ins,purchase,3
abc,apparel.shoes.step_ins,view,501
abhika,apparel.shoes,view,6
abhika,apparel.skirt,view,3
abhika,appliances.kitchen.dishwasher,view,42
abk,sport.ski,view,6
absolutechampion,auto.accessories.alarm,view,8
abtoys,computers.desktop,view,37
abtoys,furniture.kitchen.chair,cart,28
abtoys,furniture.kitchen.chair,purchase,12
abtoys,furniture.kitchen.chair,view,887
abtoys,kids.toys,view,91
academie,construction.tools.pump,view,32
academie,furniture.living_room.sofa,view,61
acana,furniture.kitchen.table,view,1
acase,construction.tools.welding,cart,82
acase,construction.tools.welding,purchase,29
acase,construction.tools.welding,view,1587
accesstyle,computers.components.power_supply,cart,3
accesstyle,computers.components.power_supply,view,47
accesstyle,furniture.kitchen.chair,cart,3
accesstyle,furniture.kitchen.chair,view,213
accesstyle,sport.bicycle,cart,109
accesstyle,sport.bicycle,purchase,24
accesstyle,sport.bicycle,view,3100
acd,computers.peripherals.mouse,cart,30
acd,computers.peripherals.mouse,purchase,7
acd,computers.peripherals.mouse,view,551
acebeam,apparel.trousers,view,1
acer,accessories.bag,cart,5
acer,accessories.bag,purchase,1
acer,accessories.bag,view,131
acer,apparel.shoes.slipons,cart,113
acer,apparel.shoes.slipons,purchase,46
acer,apparel.shoes.slipons,view,2434
acer,appliances.kitchen.refrigerators,cart,2465
acer,appliances.kitchen.refrigerators,purchase,761
acer,appliances.kitchen.refrigerators,view,111708
acer,appliances.personal.massager,cart,1480
acer,appliances.personal.massager,purchase,405
acer,appliances.personal.massager,view,52921
acer,computers.desktop,cart,66
acer,computers.desktop,purchase,29
acer,computers.desktop,view,2075
acer,computers.notebook,cart,287
acer,computers.notebook,purchase,82
acer,computers.notebook,view,9263
acer,computers.peripherals.monitor,cart,3
acer,computers.peripherals.monitor,purchase,1
acer,computers.peripherals.monitor,view,462
acer,computers.peripherals.mouse,cart,1
acer,computers.peripherals.mouse,view,46
acer,electronics.audio.headphone,cart,36607
acer,electronics.audio.headphone,purchase,11092
acer,electronics.audio.headphone,view,744778
acer,electronics.tablet,cart,2
acer,electronics.tablet,view,1019
acer,electronics.telephone,cart,28
acer,electronics.telephone,purchase,10
acer,electronics.telephone,view,2631
acer,electronics.video.projector,view,7
